ID,名称,奖励
1,铜锤,0.1米充值代金券*1
2,狼牙棒,0.1米充值代金券*1
3,银蛇剑,0.1米充值代金券*1
4,轻盔[男],0.1米充值代金券*1
5,轻盔[女],0.1米充值代金券*1
6,井中月,0.1米充值代金券*2
7,魔法权杖,0.1米充值代金券*2
8,无极棍,0.1米充值代金券*2
9,重盔[男],0.1米充值代金券*2
10,魔袍[男],0.1米充值代金券*2
11,灵魂道袍[男],0.1米充值代金券*2
12,重盔[女],0.1米充值代金券*2
13,魔袍[女],0.1米充值代金券*2
14,灵魂道袍[女],0.1米充值代金券*2
15,裁决,0.1米充值代金券*2
16,骨玉,0.1米充值代金券*2
17,龙纹,0.1米充值代金券*2
18,战神[男],0.1米充值代金券*2
19,恶魔长袍[男],0.1米充值代金券*2
20,幽灵战甲[男],0.1米充值代金券*2
21,战神[女],0.1米充值代金券*2
22,恶魔长袍[女],0.1米充值代金券*2
23,幽灵战甲[女],0.1米充值代金券*2
24,雷霆怒斩,0.2米充值代金券*2
25,龙牙利刃,0.2米充值代金券*2
26,逍遥无极扇,0.2米充值代金券*2
27,天魔战甲,0.2米充值代金券*2
28,法神披风,0.2米充值代金券*2
29,天尊道袍,0.2米充值代金券*2
30,圣战战甲,0.2米充值代金券*2
31,霓裳羽衣,0.2米充值代金券*2
32,天师道袍,0.2米充值代金券*2
33,圣战头盔,0.2米充值代金券*2
34,天尊头盔,0.2米充值代金券*2
35,圣战项链,0.2米充值代金券*2
36,法神项链,0.2米充值代金券*2
37,天尊项链,0.2米充值代金券*2
38,圣战手镯,0.2米充值代金券*2
39,法神手镯,0.2米充值代金券*2
40,天尊手镯,0.2米充值代金券*2
41,圣战戒指,0.2米充值代金券*2
42,法神戒指,0.2米充值代金券*2
43,天尊戒指,0.2米充值代金券*2
44,圣战腰带,0.2米充值代金券*2
45,法神腰带,0.2米充值代金券*2
46,天尊腰带,0.2米充值代金券*2
47,圣战靴子,0.2米充值代金券*2
48,法神靴子,0.2米充值代金券*2
49,天尊靴子,0.2米充值代金券*2
50,屠龙刀,0.5米充值代金券*2
51,嗜魂法杖,0.5米充值代金券*2
52,倚天剑,0.5米充值代金券*2
53,神武战甲,0.5米充值代金券*2
54,幻魔披风,0.5米充值代金券*2
55,天玄道袍,0.5米充值代金券*2
56,神武战袍,0.5米充值代金券*2
57,幻魔羽衣,0.5米充值代金券*2
58,天玄道衣,0.5米充值代金券*2
59,神武头盔,0.5米充值代金券*2
60,幻魔头盔,0.5米充值代金券*2
61,天玄头盔,0.5米充值代金券*2
62,神武项链,0.5米充值代金券*2
63,幻魔项链,0.5米充值代金券*2
64,天玄项链,0.5米充值代金券*2
65,神武手镯,0.5米充值代金券*2
66,幻魔手镯,0.5米充值代金券*2
67,天玄手镯,0.5米充值代金券*2
68,神武戒指,0.5米充值代金券*2
69,幻魔戒指,0.5米充值代金券*2
70,天玄戒指,0.5米充值代金券*2
71,神武腰带,0.5米充值代金券*2
72,幻魔腰带,0.5米充值代金券*2
73,天玄腰带,0.5米充值代金券*2
74,神武靴子,0.5米充值代金券*2
75,幻魔靴子,0.5米充值代金券*2
