天关等级,首通奖励战士(多个用|分割),首通奖励法师(多个用|分割),首通奖励道士(多个用|分割),普通奖励战士(多个用|分割),普通奖励法师(多个用|分割),普通奖励道士(多个用|分割)
1,绑定元宝*500,绑定元宝*500,绑定元宝*500,绑定元宝*150,绑定元宝*150,绑定元宝*150
2,灵兽精粹*8,灵兽精粹*8,灵兽精粹*8,灵兽精粹*2,灵兽精粹*2,灵兽精粹*2
3,仙翎之羽*8,仙翎之羽*8,仙翎之羽*8,仙翎之羽*2,仙翎之羽*2,仙翎之羽*2
4,玄铁*16,玄铁*16,玄铁*16,玄铁*5,玄铁*5,玄铁*5
5,魔盾精粹*10,魔盾精粹*10,魔盾精粹*10,魔盾精粹*3,魔盾精粹*3,魔盾精粹*3
6,法宝精粹*10,法宝精粹*10,法宝精粹*10,法宝精粹*3,法宝精粹*3,法宝精粹*3
7,凶器精粹*10,凶器精粹*10,凶器精粹*10,凶器精粹*3,凶器精粹*3,凶器精粹*3
8,特戒精华*15,特戒精华*15,特戒精华*15,特戒精华*4,特戒精华*4,特戒精华*4
9,特装精粹(攻)*20,特装精粹(攻)*20,特装精粹(攻)*20,特装精粹(攻)*6,特装精粹(攻)*6,特装精粹(攻)*6
10,3米充值代金券*2,3米充值代金券*2,3米充值代金券*2,1米充值代金券*1,1米充值代金券*1,1米充值代金券*1
11,特装精粹(防)*20,特装精粹(防)*20,特装精粹(防)*20,特装精粹(防)*6,特装精粹(防)*6,特装精粹(防)*6
12,神兽碎片*5,神兽碎片*5,神兽碎片*5,神兽碎片*1,神兽碎片*1,神兽碎片*1
13,魔体经验券(5万)*3,魔体经验券(5万)*3,魔体经验券(5万)*3,魔体经验券(5万)*1,魔体经验券(5万)*1,魔体经验券(5万)*1
14,绑定元宝*600,绑定元宝*600,绑定元宝*600,绑定元宝*180,绑定元宝*180,绑定元宝*180
15,灵兽精粹*10,灵兽精粹*10,灵兽精粹*10,灵兽精粹*3,灵兽精粹*3,灵兽精粹*3
16,仙翎之羽*10,仙翎之羽*10,仙翎之羽*10,仙翎之羽*3,仙翎之羽*3,仙翎之羽*3
17,玄铁*20,玄铁*20,玄铁*20,玄铁*6,玄铁*6,玄铁*6
18,魔盾精粹*12,魔盾精粹*12,魔盾精粹*12,魔盾精粹*3,魔盾精粹*3,魔盾精粹*3
19,法宝精粹*12,法宝精粹*12,法宝精粹*12,法宝精粹*3,法宝精粹*3,法宝精粹*3
20,5米充值代金券*2,5米充值代金券*2,5米充值代金券*2,2米充值代金券*1,2米充值代金券*1,2米充值代金券*1
21,凶器精粹*12,凶器精粹*12,凶器精粹*12,凶器精粹*3,凶器精粹*3,凶器精粹*3
22,特戒精华*16,特戒精华*16,特戒精华*16,特戒精华*5,特戒精华*5,特戒精华*5
23,特装精粹(攻)*20,特装精粹(攻)*20,特装精粹(攻)*20,特装精粹(攻)*6,特装精粹(攻)*6,特装精粹(攻)*6
24,特装精粹(防)*20,特装精粹(防)*20,特装精粹(防)*20,特装精粹(防)*6,特装精粹(防)*6,特装精粹(防)*6
