;цШЁф цШЁфгЬсР	x	y	dir

;      8
;    7 | 1
;6---+---2
;    5 | 3
;      4

;нюй© 0 479 212 5
;нюй© 0 484 217 5
нюй© 0 435 213 5
нюй© 0 533 157 5
нюй© 0 539 163 5
нюй© 0 541 146 1
нюй© 0 548 151 1
нюй© 0 543 291 5
нюй© 0 536 298 8
нюй© 0 554 304 4
нюй© 0 548 310 1
;нюй© 0 404 285 1
;нюй© 0 411 292 1
;нюй© 0 393 297 5
;нюй© 0 399 303 5
;нюй© 0 388 587 7
;нюй© 0 393 582 7
;нюй© 0 425 282 1
нюй© 0 431 591 1
нюй© 0 425 587 1
нюй© 0 385 146 1
нюй© 0 393 140 1
нюй© 0 402 150 3
нюй© 0 395 157 3

;нюй© 1 208 206 7
;нюй© 1 213 201 7
;нюй© 1 279 282 3
;нюй© 1 285 275 3
;нюй© 1 284 201 1
;нюй© 1 279 196 1

;нюй© 2 144 445 7 
;нюй© 2 149 440 7
;нюй© 2 260 485 3
;нюй© 2 267 478 3

;нюй© 4 317 210 5  
;нюй© 4 312 205 5 
;нюй© 4 391 156 3 
;нюй© 4 395 152 3 
;нюй© 4 429 197 3 

;нюй© 5 504 160 3
;нюй© 5 500 164 3

;нюй© 7 99 66 1
;нюй© 7 98 65 1
;нюй© 7 126 44 1
;нюй© 7 107 59 1
;нюй© 7 43 120 1
;нюй© 7 41 118 1
;нюй© 7 58 146 1
;нюй© 7 54 142 1

╧╜╪Щйьню 0 449 210 1
╧╜╪Щйьню 0 423 184 1
╧╜╪Щйьню 0 429 178 5
╧╜╪Щйьню 0 403 164 1
╧╜╪Щйьню 0 409 157 3
╧╜╪Щйьню 0 500 190 4
╧╜╪Щйьню 0 506 196 7
╧╜╪Щйьню 0 516 174 4
╧╜╪Щйьню 0 522 180 7
╧╜╪Щйьню 0 526 124 4
╧╜╪Щйьню 0 532 170 7
;╧╜╪Щйьню 0 496 257 1
;╧╜╪Щйьню 0 502 251 5
;╧╜╪Щйьню 0 515 276 7
;╧╜╪Щйьню 0 521 270 6
;╧╜╪Щйьню 0 529 290 7
;╧╜╪Щйьню 0 535 284 7
;╧╜╪Щйьню 0 451 238 4
;╧╜╪Щйьню 0 457 245 7
;╧╜╪Щйьню 0 432 258 5
;╧╜╪Щйьню 0 438 264 7
;╧╜╪Щйьню 0 414 275 4
;╧╜╪Щйьню 0 420 282 7
╧╜╪Щйьню 0 724 39 3
╧╜╪Щйьню 0 729 39 7
╧╜╪Щйьню 0 604 223 5
╧╜╪Щйьню 0 467 86 5
╧╜╪Щйьню 0 333 217 1
;╧╜╪Щйьню 0 510 258 7
╧╜╪Щйьню 0 455 202 5
╧╜╪Щйьню 0 526 164 1

;╧╜╪Щйьню 2 438 974 1
;╧╜╪Щйьню 2 442 974 1
;╧╜╪Щйьню 4 180 477 1
;╧╜╪Щйьню 4 184 477 1
;╧╜╪Щйьню 4 16 65 1
;╧╜╪Щйьню 4 16 72 5
;╧╜╪Щйьню 5 598 612 1
;╧╜╪Щйьню 5 601 606 1
;╧╜╪Щйьню 7 15 20 1
;╧╜╪Щйьню 7 17 15 1
;╧╜╪Щйьню 10 60 15 1
;╧╜╪Щйьню 10 65 15 1
