攻|击|双|防|攻击下限|攻击上限|防御下限|防御上限|魔防下限|魔防上限|生命值|暴击几率|被暴击几率
1|1|1|1|0|0|0|0|0|0|0|0|0
2|2|2|2|0|0|0|0|0|0|0|0|0
4|4|3|3|0|0|0|0|0|0|0|0|0
5|5|4|4|0|0|0|0|0|0|0|0|0
6|6|5|5|3|0|0|0|0|0|0|0|0
8|8|6|6|3|0|0|0|0|0|0|0|0
9|9|7|7|3|0|0|0|0|0|0|0|0
10|10|8|8|3|0|0|0|0|0|0|0|0
12|12|9|9|3|0|0|0|0|0|0|0|0
13|13|10|10|3|3|0|0|0|0|0|0|0
14|15|11|12|3|3|0|0|0|0|0|0|0
16|19|12|14|3|3|0|0|0|0|0|0|0
17|21|13|16|3|3|0|0|0|0|0|0|0
18|23|14|18|3|3|0|0|0|0|0|0|0
20|27|15|20|3|3|3|0|0|0|0|0|0
21|29|16|22|3|3|3|0|0|0|0|0|0
22|31|17|24|3|3|3|0|0|0|0|0|0
24|35|18|26|3|3|3|0|0|0|0|0|0
25|37|19|28|3|3|3|0|0|0|0|0|0
26|39|20|30|3|3|3|3|0|0|0|0|0
30|45|22|33|3|3|3|3|0|0|0|0|0
32|48|24|36|3|3|3|3|0|0|0|0|0
34|51|26|39|3|3|3|3|0|0|0|0|0
38|57|28|42|3|3|3|3|0|0|0|0|0
40|60|30|45|3|3|3|3|3|0|0|0|0
42|63|32|48|3|3|3|3|3|0|0|0|0
46|69|34|51|3|3|3|3|3|0|0|0|0
48|72|36|54|3|3|3|3|3|0|0|0|0
50|75|38|57|3|3|3|3|3|0|0|0|0
54|81|40|60|3|3|3|3|3|3|0|0|0
59|86|45|65|3|3|3|3|3|3|0|0|0
64|91|50|70|3|3|3|3|3|3|0|0|0
74|101|55|75|3|3|3|3|3|3|0|0|0
79|106|60|80|3|3|3|3|3|3|0|0|0
84|111|65|85|3|3|3|3|3|3|5|0|0
94|121|70|90|3|3|3|3|3|3|5|0|0
99|126|75|95|3|3|3|3|3|3|5|0|0
104|131|80|100|3|3|3|3|3|3|5|0|0
114|141|85|105|3|3|3|3|3|3|5|0|0
119|146|90|110|3|3|3|3|3|3|5|1|0
124|154|95|118|3|3|3|3|3|3|5|1|0
134|170|100|126|3|3|3|3|3|3|5|1|0
139|178|105|134|3|3|3|3|3|3|5|1|0
144|186|110|142|3|3|3|3|3|3|5|1|0
150|195|115|150|3|3|3|3|3|3|5|1|1
155|203|120|158|3|3|3|3|3|3|5|1|1
160|211|125|166|3|3|3|3|3|3|5|1|1
170|227|130|174|3|3|3|3|3|3|5|1|1
175|235|135|182|3|3|3|3|3|3|5|1|1
180|243|140|190|3|3|3|3|3|3|5|1|2
190|259|145|198|3|3|3|3|3|3|5|1|2
195|267|150|206|3|3|3|3|3|3|5|1|2
200|275|155|214|3|3|3|3|3|3|5|1|2
210|291|160|222|3|3|3|3|3|3|5|1|2
215|299|165|230|3|3|3|3|3|3|5|1|3
220|307|170|238|3|3|3|3|3|3|5|1|3
230|323|175|246|3|3|3|3|3|3|5|1|3
235|331|180|254|3|3|3|3|3|3|5|1|3
240|339|185|262|3|3|3|3|3|3|5|1|3
250|355|190|270|3|3|3|3|3|3|5|1|4
250|355|190|270|3|3|3|3|3|3|5|1|4
