特戒等级0|特戒基础属性1|特戒基础属性2|反戒基础属性3|麻痹概率4|防麻痹概率5|防麻痹CD6|护体抵扣率7|破护无视占比8|双倍扣蓝概率9|复活时间10|复活血量11|必杀概率12|必杀CD13|吸血几率14|吸血比例15|血怒触发血量16|血怒伤害17|追踪CD18|血怒cd19|材料消耗20|特戒攻下21|特戒攻上22|特戒防下23|特戒防上24|效果特防下25|效果特防上26|护体加蓝27
1|1|1|30|1|6|15|10|20|10|420|35|30|120|7|20|25|20|180|60|12|0|5|1|1|2|3|50
2|1|1|30|2|7|15|12|21|10|420|36|30|118|7|23|25|21|180|60|36|1|6|2|2|3|4|58
3|1|1|30|3|8|15|14|22|10|420|37|30|116|8|25|26|22|180|60|60|2|7|3|3|4|5|66
4|1|1|30|4|9|15|16|23|10|420|38|30|114|8|27|26|23|180|57|96|3|8|4|4|5|6|74
5|1|1|30|5|10|15|18|24|10|420|39|30|112|9|29|27|24|180|57|120|4|9|5|5|6|7|100
6|1|2|53|6|11|15|20|25|20|420|40|35|110|9|31|27|25|180|57|132|5|10|6|6|7|8|115
7|1|2|53|7|12|15|22|26|20|420|42|35|108|10|33|30|26|180|55|138|6|12|7|8|8|10|130
8|1|2|53|8|13|15|24|27|20|420|44|35|106|10|35|30|27|180|55|144|7|14|8|10|9|12|150
9|1|2|53|9|14|15|26|28|20|420|46|35|104|10|37|33|27|180|55|150|8|16|9|12|10|14|170
10|1|2|53|10|15|15|28|29|20|420|48|35|102|11|39|33|28|180|52|156|9|18|10|14|11|16|190
11|2|2|97|11|16|10|30|30|30|300|50|40|100|11|41|35|28|150|52|162|10|20|11|16|12|18|215
12|2|2|97|12|17|10|33|31|30|300|52|40|98|12|43|35|29|150|52|166|12|22|13|18|14|20|240
13|2|2|97|13|18|10|36|32|30|300|54|40|96|12|45|37|30|150|50|170|14|24|15|20|16|22|275
14|2|2|97|14|19|10|39|33|30|300|56|40|94|12|47|37|31|150|50|174|16|26|17|22|18|24|300
15|2|2|97|15|20|10|42|34|30|300|58|40|92|15|49|40|31|150|50|179|18|28|19|24|20|26|330
16|2|3|150|16|21|10|45|35|40|180|60|45|90|15|51|40|32|150|46|186|20|30|21|26|22|28|360
17|2|3|150|17|22|10|48|36|40|180|63|45|88|18|55|41|33|150|46|188|22|33|23|29|24|31|400
18|2|3|150|18|23|10|51|37|40|180|66|45|86|18|59|42|34|150|46|193|24|36|25|32|26|34|475
19|2|3|150|19|24|10|54|38|40|180|69|45|84|21|63|43|35|150|42|196|26|39|27|35|28|37|520
20|2|3|150|20|25|10|57|39|40|180|72|45|82|21|67|45|37|150|42|200|28|42|29|38|30|40|560
21|5|5|230|21|26|5|60|40|40|180|75|45|80|24|71|50|40|120|42|203|30|45|31|41|32|43|600
22|5|5|230|22|27|5|60|41|40|180|78|45|78|24|75|53|42|120|38|214|35|50|36|46|37|48|640
23|5|5|230|23|28|5|65|42|40|180|81|45|76|27|79|57|44|120|38|218|40|55|41|51|42|53|680
24|5|5|230|24|29|5|70|43|40|180|84|45|74|27|83|59|46|120|38|232|45|60|46|56|47|58|720
25|5|5|230|25|30|5|75|44|40|180|87|45|72|30|87|60|48|120|35|240|50|65|51|61|52|63|760
26|5|5|230|26|31|5|80|45|50|120|90|45|70|30|91|62|50|120|35|246|55|70|56|66|57|68|810
27|5|5|230|27|32|5|85|46|50|120|93|45|68|35|95|64|55|120|35|256|60|75|61|71|62|73|860
28|5|5|230|28|33|5|90|47|50|120|96|45|66|35|99|68|60|120|34|275|65|80|66|76|67|78|910
29|5|5|230|29|34|5|95|48|50|120|99|45|64|40|103|70|65|120|33|288|70|85|71|81|72|83|960
30|5|5|230|30|35|5|100|49|50|120|100|50|60|40|110|75|70|120|30|310|75|90|76|86|77|88|1000
32|5|5|230|30|35|5|100|49|50|120|100|50|60|40|110|75|70|120|30|310|75|90|76|86|77|88|1000
