物品名称|数量|货币类型|价格|looks
井中月|1|GOLDCOUNT|金币|10000|21
裁决|1|GOLDCOUNT|金币|30000|24
魔法权杖|1|GOLDCOUNT|金币|10000|17
骨玉|1|GOLDCOUNT|金币|30000|29
无极棍|1|GOLDCOUNT|金币|10000|23
龙纹|1|GOLDCOUNT|金币|30000|27
战神(男)|1|GOLDCOUNT|金币|10000|122
天魔战甲|1|GOLDCOUNT|金币|30000|276
恶魔长袍(男)|1|GOLDCOUNT|金币|10000|124
法神披风|1|GOLDCOUNT|金币|30000|277
幽灵战甲(男)|1|GOLDCOUNT|金币|10000|123
天尊道袍|1|GOLDCOUNT|金币|30000|278
战神(女)|1|GOLDCOUNT|金币|10000|130
圣战战甲|1|GOLDCOUNT|金币|30000|279
恶魔长袍(女)|1|GOLDCOUNT|金币|10000|132
霓裳羽衣|1|GOLDCOUNT|金币|30000|280
幽灵战甲(女)|1|GOLDCOUNT|金币|10000|131
天师道袍|1|GOLDCOUNT|金币|30000|281
玫瑰花冠|1|GOLDCOUNT|金币|10000|291
星王冠|1|GOLDCOUNT|金币|30000|222
圣战头盔|1|BINDGAMEGOLD|绑元|400|150
法神头盔|1|BINDGAMEGOLD|绑元|400|154
天尊头盔|1|BINDGAMEGOLD|绑元|400|158
幽冥项链|1|GOLDCOUNT|金币|10000|89
绿色项链|1|GOLDCOUNT|金币|30000|83
圣战项链|1|BINDGAMEGOLD|绑元|400|153
生命项链|1|GOLDCOUNT|金币|10000|115
恶魔铃铛|1|GOLDCOUNT|金币|30000|85
法神项链|1|BINDGAMEGOLD|绑元|400|157
天诛项链|1|GOLDCOUNT|金币|10000|79
灵魂项链|1|GOLDCOUNT|金币|30000|84
天尊项链|1|BINDGAMEGOLD|绑元|400|161
死神手套|1|GOLDCOUNT|金币|10000|109
骑士手镯|1|GOLDCOUNT|金币|30000|102
圣战手镯|1|BINDGAMEGOLD|绑元|400|152
魔魂手镯|1|GOLDCOUNT|金币|10000|101
龙鳞手镯|1|GOLDCOUNT|金币|30000|105
法神手镯|1|BINDGAMEGOLD|绑元|400|156
心灵护腕|1|GOLDCOUNT|金币|10000|99
三眼护腕|1|GOLDCOUNT|金币|30000|100
天尊手镯|1|BINDGAMEGOLD|绑元|400|160
龙戒|1|GOLDCOUNT|金币|10000|57
力量戒指|1|GOLDCOUNT|金币|30000|114
圣战戒指|1|BINDGAMEGOLD|绑元|400|151
红宝石戒指|1|GOLDCOUNT|金币|10000|55
紫碧螺戒指|1|GOLDCOUNT|金币|30000|116
