[强化数量]
1=20
2=36
3=60
4=140
5=260
6=470
7=560
8=810
9=1150
10=1560
11=2000
12=2740
13=3000
14=3750
15=4110
16=4500
17=5100
18=5400
19=6915
20=7500


[回收价格]
;-----------------------装备名字=绑元(金币)|吞噬|充值|经验
铜锤=20|100|0|100
轻盔(男)=20|100|0|100
轻盔(女)=20|100|0|100
道士头盔=10|100|0|100
翡翠项链=10|100|0|100
坚固手套=10|100|0|100
珊瑚戒指=10|100|0|100
天鹰腰带=10|100|0|100
天鹰靴子=10|100|0|100
狼牙棒=20|100|0|100
轻盔(男)=20|100|0|100
轻盔(女)=20|100|0|100
道士头盔=10|100|0|100
魔镜=10|100|0|100
黑檀手镯=10|100|0|100
魅力戒指=10|100|0|100
寒星腰带=10|100|0|100
寒星靴子=10|100|0|100
银蛇剑=20|100|0|100
轻盔(男)=20|100|0|100
轻盔(女)=20|100|0|100
道士头盔=10|100|0|100
骨笛=10|100|0|100
楼兰手镯=10|100|0|100
道德戒指=10|100|0|100
玄珠腰带=10|100|0|100
玄珠靴子=10|100|0|100

无极棍=20|200|0|180
灵魂道袍(男)=20|200|0|180
灵魂道袍(女)=20|200|0|180
玫瑰花冠=10|200|0|180
天诛项链=10|200|0|180
心灵护腕=10|200|0|180
铂金戒指=10|200|0|180
光芒腰带=10|200|0|180
光芒靴子=10|200|0|180
魔法权杖=20|200|0|180
魔袍(男)=20|200|0|180
魔袍(女)=20|200|0|180
玫瑰花冠=10|200|0|180
生命项链=10|200|0|180
魔魂手镯=10|200|0|180
红宝石戒指=10|200|0|180
灵力腰带=10|200|0|180
灵力靴子=10|200|0|180
井中月=20|200|0|180
重盔(男)=20|200|0|180
重盔(女)=20|200|0|180
玫瑰花冠=10|200|0|180
幽冥项链=10|200|0|180
死神手套=10|200|0|180
龙戒=10|200|0|180
玄铁腰带=10|200|0|180
玄铁靴子=10|200|0|180

裁决=20|400|0|265
战神(男)=20|400|0|265
战神(女)=20|400|0|265
星王冠=10|400|0|265
