战魂烈日战刃|战魂烈日甲(男)|战魂烈日甲(女)|战魂烈日王冠|战魂烈日吊坠|战魂烈日护腕|战魂烈日戒指|战魂烈日腰带|战魂烈日长靴=1
仙道·战魂烈日战刃|仙道·战魂烈日甲(男)|仙道·战魂烈日甲(女)|仙道·战魂烈日王冠|仙道·战魂烈日吊坠|仙道·战魂烈日护腕|仙道·战魂烈日戒指|仙道·战魂烈日腰带|仙道·战魂烈日长靴=3
魔道·战魂烈日战刃|魔道·战魂烈日甲(男)|魔道·战魂烈日甲(女)|魔道·战魂烈日王冠|魔道·战魂烈日吊坠|魔道·战魂烈日护腕|魔道·战魂烈日戒指|魔道·战魂烈日腰带|魔道·战魂烈日长靴=9
盘古开天刃|盘古开天甲(男)|盘古开天甲(女)|盘古开天冠|盘古开天坠|盘古开天腕|盘古开天戒|盘古开天带|盘古开天靴=27
仙道·盘古开天刃|仙道·盘古开天甲(男)|仙道·盘古开天甲(女)|仙道·盘古开天冠|仙道·盘古开天坠|仙道·盘古开天腕|仙道·盘古开天戒|仙道·盘古开天带|仙道·盘古开天靴=81
魔道·盘古开天刃|魔道·盘古开天甲(男)|魔道·盘古开天甲(女)|魔道·盘古开天冠|魔道·盘古开天坠|魔道·盘古开天腕|魔道·盘古开天戒|魔道·盘古开天带|魔道·盘古开天靴=243
鎏金圣阳刃|鎏金圣阳甲(男)|鎏金圣阳甲(女)|鎏金圣阳冠|鎏金圣阳链|鎏金圣阳镯|鎏金圣阳戒|鎏金圣阳带|鎏金圣阳鞋=729
仙道·鎏金圣阳刃|仙道·鎏金圣阳甲(男)|仙道·鎏金圣阳甲(女)|仙道·鎏金圣阳冠|仙道·鎏金圣阳链|仙道·鎏金圣阳镯|仙道·鎏金圣阳戒|仙道·鎏金圣阳带|仙道·鎏金圣阳鞋=2187
魔道·鎏金圣阳刃|魔道·鎏金圣阳甲(男)|魔道·鎏金圣阳甲(女)|魔道·鎏金圣阳冠|魔道·鎏金圣阳链|魔道·鎏金圣阳镯|魔道·鎏金圣阳戒|魔道·鎏金圣阳带|魔道·鎏金圣阳鞋=6561
巅峰神武刃|巅峰神武甲(男)|巅峰神武甲(女)|巅峰神武盔|巅峰神武坠|巅峰神武手|巅峰神武戒|巅峰神武带|巅峰神武靴=19683
仙道·巅峰神武刃|仙道·巅峰神武甲(男)|仙道·巅峰神武甲(女)|仙道·巅峰神武盔|仙道·巅峰神武坠|仙道·巅峰神武手|仙道·巅峰神武戒|仙道·巅峰神武带|仙道·巅峰神武靴=59049
